"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
covid_19_lab_type,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>What was the type of laboratory confirmation? <span style=""font-weight: normal; color: #236fa1;"">Check all that apply</span></p></div>","94746-5, PCR | 94558-4, Antigen test (ELISA) | 94762-2, Serology (antibodies to SARS-CoV-2) | LA14698-7, Other | LA4489-6, Unknown",,,,,,"[covid_19_diagnosis] = '4'",y,,,,,"Vocabulary: LOINC"
covid_19_dx_imaging,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please describe the imaging abnormalities.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[covid_19_diagnosis] = '2' or [covid_19_diagnosis] = '3'",,,,,,
neg_test,covid19_details,,radio,"Did the patient have a negative laboratory test despite having symptoms or signs supportive of the COVID-19 diagnosis?","1, Yes | 2, No | 99, Unknown",,,,,,"[covid_19_diagnosis] = '1' or [covid_19_diagnosis] = '11' or [covid_19_diagnosis] = '2' or [covid_19_diagnosis] = '3' or [covid_19_diagnosis] = '99'",y,,,,,
covid_19_test_more,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details, including the type of COVID-19 test.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[neg_test] = '1' or [covid_19_diagnosis] = '4'",,,,,,
additional_sx,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Additional comments about COVID-19 symptoms and diagnosis.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
severity_of_covid_19_v2,covid19_details,"Initial Severity and Course of Illness",radio,"<div class=""rich-text-field-label""><p>Initial severity of COVID-19</p> <p><span style=""color: #ba372a; background-color: #fbeeb8;""><span style=""color: #236fa1;""><span style=""font-weight: 400;"">Note 1: this is probably the most important single piece of information that we are gathering, please try not to answer ""unknown"" if at all possible.</span></span></span></p> <p><span style=""color: #236fa1; font-weight: normal;"">Note 2: if hospitalization or ICU admission were indicated but the patient was not actually admitted, you should still select that box. For example, for a patient who arrives at the ED with critical hypoxia that would ordinarily indicate a need for mechanical ventilation, but is transitioned to home hospice immediately, you should still select the severe checkbox.</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">Note 3: if the patient is diagnosed while in the hospital and is asymptomatic (e.g., as screening prior to nursing home placement), answer this question as if they were presenting as an outpatient.</span></p></div>","1, Mild (no hospitalization required) | 2, Moderate (hospitalization indicated) | 3, Severe (ICU admission indicated) | 99, Unknown",,,,,,,y,,,,,
cytokine_yn,covid19_details,,radio,"Did the patient experience a cytokine storm or cytokine release syndrome that was specifically documented in the patient's chart?","0, No | 1, Yes | 99, Unknown",,,,,,"[severity_of_covid_19_v2] = '2' or [severity_of_covid_19_v2] = '3'",,,,,," @HIDDEN"
hosp_status,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Was the patient ever hospitalized during their course of illness?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If the patient was hospitalized more than once, please report on the index hospitalization and make a note in the comments about the other hospitalization(s).</span></p></div>","0, No | 1, Yes - admitted to floor | 2, Yes - admitted to floor and then transferred to the ICU | 3, Yes - admitted directly to the ICU | 99, Unknown",,,,,,,y,,,,,
dx_hosp_interval,covid19_details,,text,"<div class=""rich-text-field-label""><p>How many days elapsed between the COVID-19 diagnosis and the <em>first</em> hospital admission?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If the patient was hospitalized on the same day as their diagnosis, enter 0 here. If they were hospitalized <em>before</em> the COVID-19 diagnosis (e.g., iatrogenic COVID-19), enter a negative number corresponding to how many days they were in the hospital before diagnosis. If you do not know the answer, enter 9999 here.</span></p></div>",,,integer,,,,"[hosp_status] = '1' or [hosp_status] = '2' or [hosp_status] = '3'",,,,,,
code_status_admit,covid19_details,,radio,"What was the patient's code status at the time of admission","1, Full code | 2, DNR only | 3, DNI only | 4, DNR/DNI | 99, Unknown",,,,,,"[hosp_status] = 1 or [hosp_status] = 2 or [hosp_status] = 3",,,,,,
code_status_change,covid19_details,,radio,"Did the patient's code status change during the hospitalization?","0, No | 1, Yes | 99, Unknown",,,,,,"[hosp_status] = 1 or [hosp_status] = 2 or [hosp_status] = 3",,,,,,
code_status_change_what,covid19_details,,radio,"What did the code status change to?","1, Full code | 2, DNR only | 3, DNI only | 4, DNR/DNI | 88, Other | 99, Unknown",,,,,,"[code_status_change] = 1",,,,,,
code_status_change_why,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Briefly describe why the code status was changed.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[code_status_change] = 1",,,,,,
palliative_yn,covid19_details,,radio,"Was a palliative care consultant or team involved in the care of the patient during this admission?","0, No | 1, Yes | 99, Unknown",,,,,,"[hosp_status] = 1 or [hosp_status] = 2 or [hosp_status] = 3",,,,,,
hosp_los,covid19_details,,text,"<div class=""rich-text-field-label""><p>If known, how long was the length of stay, in days?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If the patient is still hospitalized, enter 9999 here.</span></p></div>",,,integer,1,,,"[hosp_status] = '1'",,,,,,
hosp_los_2,covid19_details,,text,"If known, how long was the length of stay prior to transfer to the ICU, in days?",,,integer,1,,,"[hosp_status] = '2'",,,,,,
icu_los,covid19_details,,text,"<div class=""rich-text-field-label""><p>If known, how long was the ICU length of stay, in days?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If the patient is still in the ICU, enter 9999 here.</span></p></div>",,,integer,1,,,"[hosp_status] = '2' or [hosp_status] = '3'",,,,,,
current_status,covid19_details,,radio,"What is the patient's current location?","1, Outpatient - new COVID-19 diagnosis | 2, Outpatient - follow up | 3, ER - new COVID-19 diagnosis | 4, ER - Follow up | 5, Hospitalized (non-ICU) - new admit | 6, Hospitalized (non-ICU)  - continued | 7, ICU - new admit | 8, ICU - continued | 9, None - patient is deceased",,,,,,"[timing_of_report] = '1'",y,,,,,
days_to_death_2,covid19_details,,text,"<div class=""rich-text-field-label""><p>Approximately how many days elapsed between COVID-19 diagnosis and death?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If this information is unknown to you, please enter 9999 here.</span></p></div>",,,integer,0,,,"[current_status] = '9'",y,,,,,
cause_of_death,covid19_details,,radio,"To the best of your knowledge, what was the proximal cause of death?","1, COVID-19 | 2, Cancer | 3, Both | 88, Other | 99, Unknown",,,,,,"[current_status] = '9'",y,,,,,
deceased_reason,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details about the proximal cause of death.</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[current_status] = '9'",y,,,,,
c19_complications_systemic,covid19_details,Complications,checkbox,"<div class=""rich-text-field-label""><p>Systemic complications occurring during the COVID-19 illness. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no systemic complications, please check ""None"".</span></p></div>","50960005, Bleeding | 67406007, Disseminated intravascular coagulation (DIC) | 57653000, Multiorgan failure | 91302008, Sepsis | 238147009, Other | NONE, None | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED
@NONEOFTHEABOVE='NONE'"
c19_bleeding,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Please specify the type of bleeding. <span style=""color: #236fa1; font-weight: normal;"">Check all that apply.</span></p></div>","112648003, Major bleeding (requiring multiple RBCs transfusions or ICU admit) | 73099002, Non-major but clinically relevant bleed | 127563002, Minor bleed (without transfusion need) | 230690007-Major, CNS hemorrhage, extensive | 230690007-Minor, CNS hemorrhage, limited | OTH, Other | UNK, Unknown",,,,,,"[c19_complications_systemic(50960005)] = '1'",,,,,,"Terminology: SNOMED-modified"
c19_bleeding_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify further details about bleeding.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_bleeding(OTH)] = '1'",,,,,,
dic_certainty,covid19_details,,radio,"How definite was the DIC diagnosis?","1, Definite | 2, Suspected | 99, Unknown",,,,,,"[c19_complications_systemic(67406007)] = '1'",,,,,,
dic_treatment,covid19_details,,radio,"Which of the following were used to treat the DIC?","346447007, Plasma (FFP) | 256401009, Cryoprecipitate | NONE, None | UNK, Unknown | OTH, Other",,,,,,"[c19_complications_systemic(67406007)] = '1'",,,,,,"Terminology: SNOMED"
dic_more,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please provide further details about DIC, including clinical manifestations.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_systemic(67406007)] = '1'",,,,,,
c19_comp_systemic_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other systemic complications.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_systemic(238147009)] = '1'",,,,,,
o2_requirement_c19,covid19_details,,radio,"Did the patient require supplemental O2 during the course of illness?","0, No | 1, Yes | 99, Unknown",,,,,,,y,,,,,
o2_policy,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Was there an institutional policy in place to refuse intubation for patients with metastatic cancer, at the time when this patient required supplemental O2?</p></div>","0, No | 1, Yes | 99, Unknown",,,,,,"[o2_requirement_c19] = '1'",,,,,,
c19_complications_pulm,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Pulmonary complications occurring during the COVID-19 illness. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no pulmonary complications, please check ""None"".</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Note: the distinction between pneumonia and pneumonitis can often be very subtle and subjective. Radiology notes may say pneumonitis and clinical notes may say pneumonia. Please use your best judgment.</span></p></div>","409622000, Respiratory failure | 205237003, Pneumonitis | 233604007, Pneumonia | 67782005, Acute respiratory distress syndrome (ARDS) | 59282003, Pulmonary embolism (PE) | 60046008, Pleural effusion | 312682007, Empyema | 50043002, Other | NONE, None | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
resp_failure_tx,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Which of the following supplemental O2 interventions did the patient require?<span style=""font-weight: normal; color: #236fa1;""> Select the most invasive intervention required during the course of illness.</span></p></div>","1, Nasal cannula or face mask with standard O2 | 2, High-flow nasal cannula or blow-by | 3, Non-rebreather | 4, CPAP | 5, BiPAP | 6, Intubation | 99, Unknown",,,,,,"[c19_complications_pulm(409622000)] = '1' or [o2_requirement_c19] = '1'",,,,,,
withdrawal_yn,covid19_details,,radio,"Was there an active decision to withdraw care?","0, No | 1, Yes | 99, Unknown",,,,,,"[resp_failure_tx] = '6'",,,,,,
withdrawal_who,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Who was involved in the decision to withdraw care?<span style=""font-weight: normal; color: #236fa1;""> Please check all that apply</span></p></div>","1, Patient | 2, Spouse or significant other | 3, Child | 4, Parent | 5, Other family | 6, Friend | 7, Primary managing hematologist/oncologist | 8, Hospitalist/Intensivist | 9, Palliative care clinician",,,,,,"[withdrawal_yn] = '1'",,,,,,
berlin_yn,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Were the Berlin criteria formally assessed?</p></div>","0, No | 1, Yes | 99, Unknown/Unsure",,,,,,"[c19_complications_pulm(67782005)] = '1'",,,,,,
berlin_2,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Berlin criteria.<br /><br /><span style=""font-weight: normal; color: #236fa1;"">The Berlin criteria are based on a decreased PaO2/FiO2 ratio:</span><br /><span style=""font-weight: normal; color: #236fa1;"">-mild ARDS: 201 - 300 mmHg (≤ 39.9 kPa)</span><br /><span style=""font-weight: normal; color: #236fa1;"">-moderate ARDS: 101 - 200 mmHg (≤ 26.6 kPa)</span><br /><span style=""font-weight: normal; color: #236fa1;"">-severe ARDS: ≤ 100 mmHg (≤ 13.3 kPa)</span><br /><br /><span style=""font-weight: normal; color: #236fa1;"">Note that the Berlin definition requires a minimum positive end expiratory pressure (PEEP) of 5 cmH2O for consideration of the PaO2/FiO2 ratio. This degree of PEEP may be delivered noninvasively with CPAP to diagnose mild ARDS.</span></p> <p><span style=""font-weight: normal; color: #236fa1;""><a href=""https://www.merckmanuals.com/medical-calculators/PaO2_FIO2Ratio.htm"" target=""_blank"" rel=""noopener"">Click this link to access a calculator for PaO2/FiO2 ratio</a> (opens a new window)</span></p></div>","1, Mild | 2, Moderate | 3, Severe | 99, Unknown",,,,,,"[berlin_yn] = '1'",,,,,,
c19_comp_pulm_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other pulmonary complications.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_pulm(50043002)] = '1'",,,,,,
c19_complications_card,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Cardiovascular complications occurring during the COVID-19 illness. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no cardiovascular complications, please check ""None"".</span></p></div>","45007003, Hypotension | 22298006, Myocardial infarction | 414545008, Other cardiac ischemia | 49436004, Atrial fibrillation | 71908006, Ventricular fibrillation | 698247007, Other cardiac arrhythmia | 85898001, Cardiomyopathy | 42343007, Congestive heart failure (CHF) | 59282003, Pulmonary embolism (PE) | 128053003, Deep venous thrombosis (DVT) | 275517008, Superficial venous thrombosis (SVT) | 230690007, Cerebrovascular accident (CVA; stroke) | 414086009, Thrombosis, NOS | 49601007, Other | NONE, None | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
sepsis_pressors,covid19_details,,radio,"Did the patient require pressors?","0, No | 1, Yes | 99, Unknown",,,,,,"[c19_complications_card(45007003)] = '1'",,,,,,
c19_comp_card_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other cardiac complications.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_card(49601007)] = '1' or [c19_complications_card(414545008)] = '1' or [c19_complications_card(698247007)] = '1'",,,,,,
c19_complications_gi,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Gastrointestinal complications occurring during the COVID-19 illness. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no GI complications, please check ""None"".</span></p></div>","427044009, Acute hepatic injury | 389026000, Ascites | 81060008, Bowel obstruction | 56905009, Bowel perforation | 710572000, Ileus | 48661000, Peritonitis | 53619000, Other | NONE, None | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED"
c19_comp_gi_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other GI complications.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_gi(53619000)] = '1'",,,,,,
c19_complications_other,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p>Other complications occurring during the COVID-19 illness. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply. If there were no other complications, please check ""None"".</span></p></div>","14669001, Acute kidney injury | 91175000, Seizures | 372070002, Gangrene | 414086009, Thrombosis, NOS | 362965005, Other | NONE, None | UNK, Unknown",,,,,,,y,,,,,"Terminology: SNOMED @HIDECHOICE = '414086009'"
c19_complications_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify other complications.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[c19_complications_other(362965005)] = '1'",,,,,,
current_status_v2,covid19_details,"Clinical Status",radio,"<div class=""rich-text-field-label""><p>Current COVID-19 status</p> <p><span style=""font-weight: normal; color: #236fa1;"">Fully recovered means that the patient has returned to their baseline functional status and repeat SARS-CoV-2 testing, if obtained, is negative. If they are on medications to treat sequelae or have functional compromise (e.g., impaired pulmonary function) but are not considered to have active infection, they should be considered to have recovered with complications.</span></p></div>","1, Fully recovered | 1b, Recovered with complications | 2, Ongoing infection | 3, Died | 99, Unknown",,,,,,"[timing_of_report] = '1' and ([current_status] = '1' or [current_status] = '2' or [current_status] = '3' or [current_status] = '4' or [current_status] = '5' or [current_status] = '6' or [current_status] = '7' or [current_status] = '8')",y,,,,,
current_status_retro,covid19_details,,radio,"<div class=""rich-text-field-label""><p>Final COVID-19 status</p> <p><span style=""color: #236fa1; font-weight: normal;"">Fully recovered means that the patient has returned to their baseline functional status and repeat SARS-CoV-2 testing, if obtained, is negative. If they are on medications to treat sequelae or have functional compromise (e.g., impaired pulmonary function) but are not considered to have active infection, they should be considered to have recovered with complications.</span></p></div>","1, Fully recovered | 1b, Recovered with complications | 3, Died | 99, Unknown",,,,,,"[timing_of_report] = '2'",y,,,,,
days_to_death,covid19_details,,text,"<div class=""rich-text-field-label""><p>Approximately how many days elapsed between COVID-19 diagnosis and death?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If this information is unknown to you, please enter 9999 here.</span></p></div>",,,integer,0,,,"[current_status_retro] = '3' or [current_status_v2] = '3'",y,,,,,
cause_of_death_2,covid19_details,,radio,"To the best of your knowledge, what was the proximal cause of death?","1, COVID-19 | 2, Cancer | 3, Both | 88, Other | 99, Unknown",,,,,,"[current_status_v2] = '3' or [current_status_retro] = '3'",y,,,,,
deceased_reason_retro,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please provide additional details about the proximal cause of death.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[current_status_v2] = '3' or [current_status_retro] = '3'",y,,,,,
current_status_clinical,covid19_details,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Current clinical status</span></p></div>","0, Outpatient - No symptoms | 1, Outpatient - Mild symptoms | 2, Outpatient - Moderate symptoms | 3, Outpatient - Severe symptoms | 4, Inpatient - Near Recovery | 5, Inpatient - Moderately ill | 6, Inpatient - Severely ill | 7, Critical (ICU) - Severely ill, not requiring ventilator support | 8, Critical (ICU) - Severely ill, intubated | OTH, Other | 99, Unknown",,,,,,"[current_status_v2] = '2'",y,,,,,
current_status_clinical_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify other current clinical status</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[current_status_clinical] = 'OTH'",y,,,,,
worst_status_clinical,covid19_details,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Worst clinical status. <span style=""color: #236fa1; font-weight: normal;"">Report the worst clinical presentation during the COVID-19 illness or the current clinical status if this is the only known status. If the patient died, this should be the highest level of care that they received prior to the time of death.</span></span></p></div>","0, Outpatient - No symptoms | 1, Outpatient - Mild symptoms | 2, Outpatient - Moderate symptoms | 3, Outpatient - Severe symptoms | 5, Inpatient - Moderately ill | 6, Inpatient - Severely ill | 7, Critical (ICU) - Severely ill, did not require ventilator support | 8, Critical (ICU) - Severely ill, intubated | OTH, Other | 99, Unknown",,,,,,"[timing_of_report] = '2'",y,,,,,
worst_status_clinical_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify worst clinical status</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[worst_status_clinical] = 'OTH'",y,,,,,
complications_severity,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Current severity of COVID-19 complications. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></span></p></div>","0, No complications | 1, Mild complications (mimimal symptoms from complications) | 2, Moderate complications (moderate symptoms from complications) | 3, Serious complications (symptoms substantially impact the patient's functional status or disabling physical functioning) | OTH, Other | 99, Unknown",,,,,,"[current_status_v2] = '1b' or [current_status_v2] = '2' or [current_status_retro] = '1b'",y,,,,,
complications_severity_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify other current severity of COVID-19 complications</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[complications_severity(OTH)] = '1'",y,,,,,
worst_complications_severity,covid19_details,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Worst severity of COVID-19 complications. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></span></p></div>","0, None (patient was asymptomatic) | 1, Mild complications (mimimal symptoms from complications) | 2, Moderate complications (moderate symptoms from complications) | 3, Serious complications (symptoms substantially impact the patient's functional status or disabling physical functioning) | OTH, Other | 99, Unknown",,,,,,"[timing_of_report] = '2' and [current_status_retro] != '3'",y,,,,,
worst_complications_severity_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify other worst severity of COVID-19 complications</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[worst_complications_severity(OTH)] = '1'",y,,,,,
consider_returning,covid19_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">Please consider returning to add a new form once final status has been determined. In order to do this, click on the button named ""</span><span style=""color: #236fa1;"">Survey Queue</span><span style=""font-weight: normal; color: #236fa1;"">"" in the top right-hand corner of the screen. This will open a window where you can choose ""</span><span style=""color: #236fa1;"">Get link to my survey queue</span><span style=""font-weight: normal; color: #236fa1;"">"". Use this link to return to the survey at any time to add additional updated information.</span></p></div>",,,,,,,"[current_status_v2] = '2'",,,,,,
covid_19_more,covid19_details,"COVID-19 Details - Optional",yesno,"<div class=""rich-text-field-label""><p>Would you like to answer additional COVID-19 detail questions? <span style=""font-weight: normal; color: #236fa1;"">This is optional but will really help us understand the granular details better.</span></p></div>",,,,,,,"[ccc19] = '0'",,,,,,
mortality,covid19_details,,radio,"<div class=""rich-text-field-label""><p>If it has been at least 30 days from the presumptive or laboratory-proven COVID-19 diagnosis, was the patient alive 30 days after diagnosis?</p></div>","1, Yes | 0, No | 88, N/A - it has been fewer than 30 days since COVID-19 diagnosis | 99, Unknown",,,,,,"[covid_19_dx_interval] != '1' and [covid_19_dx_interval] != '2' and [covid_19_dx_interval] != '3'",y,,,,,
mortality_90,covid19_details,,radio,"<div class=""rich-text-field-label""><p>If it has been at least 90 days (~3 months) from the presumptive or laboratory-proven COVID-19 diagnosis, was the patient alive 90 days after diagnosis?</p></div>","1, Yes | 0, No | 88, N/A - it has been fewer than 90 days since COVID-19 diagnosis | 99, Unknown",,,,,,"[covid_19_dx_interval] != '1' and [covid_19_dx_interval] != '2' and [covid_19_dx_interval] != '3' and [covid_19_dx_interval] != '4' and [covid_19_dx_interval] != '5' and [mortality] != '0'",y,,,,,
mortality_180,covid19_details,,radio,"<div class=""rich-text-field-label""><p>If it has been at least 180 days (~6 months) from the presumptive or laboratory-proven COVID-19 diagnosis, was the patient alive 180 days after diagnosis?</p></div>","1, Yes | 0, No | 88, N/A - it has been fewer than 180 days since COVID-19 diagnosis | 99, Unknown",,,,,,"[covid_19_dx_interval] != '1' and [covid_19_dx_interval] != '2' and [covid_19_dx_interval] != '3' and [covid_19_dx_interval] != '4' and [covid_19_dx_interval] != '5' and [covid_19_dx_interval] != '6' and [mortality] != '0' and [mortality_90] != '0'",y,,,,,
labs,covid19_details," <div class=""rich-text-field-label""><div class=""rich-text-field-label""><p><span style=""color: #843fa1;"">Baseline laboratory values at the time of or closest to the date of the COVID-19 diagnosis</span></p> <p><span style=""color: #236fa1; font-weight: normal;"">If the laboratory value (e.g., IL-6 level) was not available at the time of presentation, please enter the earliest known result, if known.</span></p></div></div>",radio,"<div class=""rich-text-field-label""><p>At what time point were labs drawn?</p> <p><span style=""color: #236fa1; font-weight: normal;"">This information is important to build predictive models of disease severity based on lab values. Your answer should be based on common labs (CBC, CMP, BNP, etc.) - not necessarily send-out labs that were drawn later in the course of COVID-19 illness.</span></p></div>","1, At the time of initial COVID-19 diagnosis | 2a, At the time of a change in clinical status (hospitalization) | 2b, At the time of a change in clinical status (other than hospitalization) | 3, Labs were not drawn or are not available for review | OTH, Other | UNK, Unknown",,,,,,,,,,,,
labs_oth_specify,covid19_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Please specify what other time point labs were drawn</span></p> <p><span style=""color: #000000; font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[labs] = 'OTH'",,,,,,
wbc_range,covid19_details,"CBC values at presentation",radio,"Total WBC count","LO, Low | WNL, Normal | HI, High | NT, Not tested | 99, Unknown",,,,,,"[labs] != '3'",,,,cbc,,
alc_range,covid19_details,,radio,"Absolute lymphocyte count (ALC) - less than 1500/uL should be considered low","LO, Low | WNL, Normal | HI, High | NT, Not tested | 99, Unknown",,,,,,"[labs] != '3'",,,,cbc,,"less than 1500/uL should be considered low"
anc_range,covid19_details,,radio,"Absolute neutrophil count (ANC)","LO, Low | WNL, Normal | HI, High | NT, Not tested | 99, Unknown",,,,,,"[labs] != '3'",,,,cbc,,"less than 1000/uL should be considered low"
aec_range,covid19_details,,radio,"Absolute eosinophil count (AEC)","LO, Low | WNL, Normal | HI, High | NT, Not tested | 99, Unknown",,,,,,"[labs] != '3'",,,,cbc,,
